X,Y,Theta
[ 0.0044518],[  3.14120814e-08],[ -2.32431967e-35],[ 0.]
[ 0.01170493],[  8.25903376e-08],[ -9.66403293e-35],[ 0.]
[ 0.02155186],[  1.52070608e-07],[  3.78556201e-34],[ 0.]
[ 0.03378509],[  2.38388738e-07],[ -2.00251340e-34],[ 0.]
[ 0.04819713],[  3.40080562e-07],[ -5.73723528e-34],[ 0.]
[ 0.06458047],[  4.55681912e-07],[  4.07778990e-34],[ 0.]
[ 0.0827276],[  5.83728636e-07],[  4.81035798e-34],[ 0.]
[ 0.10243101],[  7.22756565e-07],[ -1.51547083e-33],[ 0.]
[ 0.1234832],[  8.71301539e-07],[  1.17996123e-33],[ 0.]
[ 0.14567667],[  1.02789941e-06],[  1.68194434e-33],[ 0.]
[ 0.16880392],[  1.19108600e-06],[  1.91041342e-33],[ 0.]
[ 0.19265743],[  1.35939717e-06],[ -1.93862528e-33],[ 0.]
[ 0.2170297],[  1.53136874e-06],[ -1.78219050e-33],[ 0.]
[ 0.24171323],[  1.70553654e-06],[ -1.86320557e-33],[ 0.]
[ 0.26650052],[  1.88043644e-06],[ -2.90427038e-33],[ 0.]
[ 0.29118405],[  2.05460424e-06],[  3.17773739e-33],[ 0.]
[ 0.31555632],[  2.22657581e-06],[  3.33417218e-33],[ 0.]
[ 0.33940983],[  2.39488698e-06],[  5.64810930e-33],[ 0.]
[ 0.36253708],[  2.55807357e-06],[ -2.86350424e-34],[ 0.]
[ 0.38473055],[  2.71467146e-06],[ -5.50827249e-33],[ 0.]
[ 0.40578275],[  2.86321645e-06],[  7.07647599e-34],[ 0.]
[ 0.42548616],[  3.00224439e-06],[ -8.49835396e-34],[ 0.]
[ 0.44363329],[  3.13029114e-06],[  5.82546788e-33],[ 0.]
[ 0.46001663],[  3.24589250e-06],[ -1.99852848e-33],[ 0.]
[ 0.47442867],[  3.34758434e-06],[  5.77083091e-33],[ 0.]
[ 0.48666191],[  3.43390249e-06],[ -5.92449153e-33],[ 0.]
[ 0.49650885],[  3.50338278e-06],[  3.57369091e-33],[ 0.]
[ 0.50376197],[  3.55456106e-06],[  1.84768904e-33],[ 0.]
[ 0.50821378],[  3.58597317e-06],[ -2.57941076e-33],[ 0.]
[ 0.50965677],[  3.59615494e-06],[  5.75804153e-34],[ 0.]
[ 0.50788343],[  3.58364221e-06],[ -3.93527297e-33],[ 0.]
[ 0.50754995],[-0.00133377],[ -1.44444746e-34],[ 0.]
[ 0.50723105],[-0.00261269],[  1.73333695e-33],[ 0.]
[ 0.50692563],[-0.0038375],[ -3.94815639e-33],[ 0.]
[ 0.50663263],[-0.00501255],[ -3.85185989e-34],[ 0.]
[ 0.50635095],[-0.00614214],[ -3.27408091e-33],[ 0.]
[ 0.50607954],[-0.00723061],[  5.77778983e-33],[ 0.]
[ 0.50581729],[-0.0082823],[ -4.81482486e-33],[ 0.]
[ 0.50556314],[-0.00930152],[ -2.69630192e-33],[ 0.]
[ 0.50531601],[-0.01029261],[ -6.16297582e-33],[ 0.]
[ 0.50507481],[-0.01125989],[  3.08148791e-33],[ 0.]
[ 0.50483847],[-0.0122077],[ -4.23704588e-33],[ 0.]
[ 0.5046059],[-0.01314036],[  1.92592994e-33],[ 0.]
[ 0.50437604],[-0.01406219],[  3.85185989e-33],[ 0.]
[ 0.50414779],[-0.01497753],[ -3.08148791e-33],[ 0.]
[ 0.50392008],[-0.01589071],[ -1.54074396e-33],[ 0.]
[ 0.50369184],[-0.01680606],[  3.85185989e-33],[ 0.]
[ 0.50346197],[-0.01772789],[  6.16297582e-33],[ 0.]
[ 0.50322941],[-0.01866055],[ 0.],[ 0.]
[ 0.50299306],[-0.01960836],[  5.39260384e-33],[ 0.]
[ 0.50275187],[-0.02057564],[  2.31111593e-33],[ 0.]
[ 0.50250473],[-0.02156673],[ -1.54074396e-33],[ 0.]
[ 0.50225058],[-0.02258595],[ -1.54074396e-33],[ 0.]
[ 0.50198834],[-0.02363764],[ 0.],[ 0.]
[ 0.50171692],[-0.02472611],[ -3.85185989e-33],[ 0.]
